feature,importance_%
numeric__channel_CPz_bw_5,0
numeric__channel_CP4_pw_0,0
numeric__channel_CP4_bw_0,0
numeric__channel_CP4_pw_1,0
numeric__channel_CP4_bw_1,0
numeric__channel_CP4_pw_2,0
numeric__channel_CP4_bw_2,0
numeric__channel_CP4_cf_3,0
numeric__channel_CP4_pw_3,0
numeric__channel_CP4_bw_3,0
numeric__channel_CP4_cf_4,0
numeric__channel_CP4_pw_4,0
numeric__channel_CP4_cf_5,0
numeric__channel_TP8_pw_4,0
numeric__channel_CP4_pw_5,0
numeric__channel_CP4_bw_5,0
numeric__channel_TP8_pw_0,0
numeric__channel_TP8_bw_0,0
numeric__channel_TP8_cf_1,0
numeric__channel_TP8_pw_1,0
numeric__channel_TP8_bw_1,0
numeric__channel_TP8_cf_2,0
numeric__channel_TP8_pw_2,0
numeric__channel_TP8_bw_2,0
numeric__channel_TP8_cf_3,0
numeric__channel_TP8_pw_3,0
numeric__channel_TP8_bw_3,0
numeric__channel_TP8_cf_4,0
numeric__channel_AFz_pw_0,0
numeric__channel_Fp1_cf_0,0
numeric__channel_AF3_bw_5,0
numeric__channel_CP5_bw_4,0
numeric__channel_CP1_bw_0,0
numeric__channel_CP1_pw_0,0
numeric__channel_CP1_cf_0,0
numeric__channel_CP5_bw_5,0
numeric__channel_CP5_pw_5,0
numeric__channel_CP5_cf_5,0
numeric__channel_CP5_pw_4,0
numeric__channel_CP5_bw_1,0
numeric__channel_CP5_cf_4,0
numeric__channel_CP5_bw_3,0
numeric__channel_CP5_pw_3,0
numeric__channel_CP5_cf_3,0
numeric__channel_CP5_bw_2,0
numeric__channel_CP5_pw_2,0
numeric__channel_CP1_cf_1,0
numeric__channel_CP1_pw_1,0
numeric__channel_CP1_bw_1,0
numeric__channel_CP1_pw_2,0
numeric__channel_CP1_bw_2,0
numeric__channel_CP1_cf_3,0
numeric__channel_CP1_pw_3,0
numeric__channel_CP1_bw_3,0
numeric__channel_CP1_cf_4,0
numeric__channel_CP1_pw_4,0
numeric__channel_CP1_bw_4,0
numeric__channel_CP1_cf_5,0
numeric__channel_CP1_pw_5,0
numeric__channel_CP1_bw_5,0
numeric__channel_P3_cf_0,0
numeric__channel_P3_pw_0,0
numeric__channel_P3_bw_0,0
numeric__channel_CP5_cf_2,0
numeric__channel_CP5_cf_1,0
numeric__channel_P3_cf_2,0
numeric__channel_T7_cf_4,0
numeric__channel_TP9_cf_0,0
numeric__channel_T7_bw_5,0
numeric__channel_T7_pw_5,0
numeric__channel_T7_cf_5,0
numeric__channel_T7_bw_4,0
numeric__channel_T7_pw_4,0
numeric__channel_T7_bw_3,0
numeric__channel_CP5_bw_0,0
numeric__channel_T7_pw_3,0
numeric__channel_T7_cf_3,0
numeric__channel_T7_bw_2,0
numeric__channel_T7_pw_2,0
numeric__channel_T7_cf_2,0
numeric__channel_T7_bw_1,0
numeric__channel_TP9_bw_0,0
numeric__channel_TP9_cf_1,0
numeric__channel_TP9_pw_1,0
numeric__channel_TP9_bw_1,0
numeric__channel_TP9_cf_2,0
numeric__channel_TP9_pw_2,0
numeric__channel_TP9_bw_2,0
numeric__channel_TP9_cf_3,0
numeric__channel_TP9_pw_3,0
numeric__channel_TP9_bw_3,0
numeric__channel_TP9_cf_4,0
numeric__channel_TP9_pw_4,0
numeric__channel_TP9_bw_4,0
numeric__channel_TP9_cf_5,0
numeric__channel_TP9_pw_5,0
numeric__channel_TP9_bw_5,0
numeric__channel_CP5_pw_0,0
numeric__channel_P3_pw_1,0
numeric__channel_P3_pw_2,0
numeric__channel_T7_cf_1,0
numeric__channel_Oz_bw_0,0
numeric__channel_Oz_bw_2,0
numeric__channel_Oz_pw_2,0
numeric__channel_Oz_cf_2,0
numeric__channel_Oz_bw_1,0
numeric__channel_Oz_pw_1,0
numeric__channel_Oz_cf_1,0
numeric__channel_Oz_pw_0,0
numeric__channel_O1_pw_3,0
numeric__channel_O1_bw_5,0
numeric__channel_O1_pw_5,0
numeric__channel_O1_cf_5,0
numeric__channel_O1_bw_4,0
numeric__channel_O1_pw_4,0
numeric__channel_O1_cf_4,0
numeric__channel_Oz_cf_3,0
numeric__channel_Oz_pw_3,0
numeric__channel_Oz_bw_3,0
numeric__channel_Oz_cf_4,0
numeric__channel_Oz_pw_4,0
numeric__channel_Oz_bw_4,0
numeric__channel_Oz_cf_5,0
numeric__channel_Oz_pw_5,0
numeric__channel_Oz_bw_5,0
numeric__channel_O2_pw_0,0
numeric__channel_O2_bw_0,0
numeric__channel_O2_cf_1,0
numeric__channel_O2_pw_1,0
numeric__channel_O2_cf_2,0
numeric__channel_O2_pw_2,0
numeric__channel_O2_bw_2,0
numeric__channel_O2_cf_3,0
numeric__channel_O1_bw_3,0
numeric__channel_O1_cf_3,0
numeric__channel_P3_bw_2,0
numeric__channel_P3_pw_5,0
numeric__channel_P7_pw_2,0
numeric__channel_P7_cf_2,0
numeric__channel_P7_bw_1,0
numeric__channel_P7_pw_1,0
numeric__channel_P7_bw_0,0
numeric__channel_P3_bw_5,0
numeric__channel_P3_cf_5,0
numeric__channel_O1_bw_2,0
numeric__channel_P3_bw_4,0
numeric__channel_P3_pw_4,0
numeric__channel_P3_cf_4,0
numeric__channel_P3_bw_3,0
numeric__channel_P3_pw_3,0
numeric__channel_P3_cf_3,0
numeric__channel_P7_bw_2,0
numeric__channel_P7_cf_3,0
numeric__channel_P7_pw_3,0
